patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,An Vũ,974132834831,18/07/1945,0599660577,bduong@hotmail.com,"338 Dương Bùi xã JaneThành phố, 895667",Tim mạch,7.99,Quang Hoàng Đặng,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Vi Lê,520377107044,25/07/1961,0980660392,jane91@hotmail.com,"849 Nhật Hoàng phố JohnHuyện, 183667",Tim mạch,3.73,Trung Đặng,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Cô Ngọc Phạm,964104967066,29/10/1979,0051460745,mbui@hotmail.com,"5 Nhiên Quang Trần
JaneHuyện, 169403",Tiểu đường,6.21,Hạnh Đức Hoàng,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Cô Vi Đặng,703362680408,29/09/1989,0553470574,jane17@gmail.com,"7 Chị Ánh Vũ JaneXã, 166613",Tim mạch,3.9,Hải Hoàng Hoàng,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Ông Hưng Trần,509549305966,05/03/1990,0238856527,maijane@hotmail.com,"2 Cô Hạnh Phạm JohnXã, 916449",Tiểu đường,5.24,Bà Lâm Đặng,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Cô Hải Vũ,018648769984,10/12/1952,0155983541,mvu@hotmail.com,"Quận JaneXã
89 Ngọc Phạm, 847581",Khỏe mạnh,5.79,Trung Mai Hoàng,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Anh Anh Mai,267320441384,22/04/1978,0165972634,jane01@gmail.com,"105 Phương Hải Bùi
JohnXã, 238739",Tim mạch,9.82,Cô Nhật Vũ,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Cô Xuân Nguyễn,596094544901,07/07/1984,0755752250,jane25@gmail.com,"338 Bảo Đặng JaneQuận, 179046",Huyết áp cao,4.24,Chị Duyên Đặng,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Nhật Tấn Trần,495427707070,01/07/1970,0139488488,phamjane@yahoo.com,"74 Vũ Mai Bảo Lê JaneQuận, 161324",Tim mạch,11.25,Quý cô Thành Phạm,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,An Xuân Bùi,578360914985,05/07/1997,0269131196,janetran@gmail.com,"939 Quý cô Hồng Nguyễn
JaneQuận, 802258",Huyết áp cao,10.58,Nhật Đức Hoàng,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Bảo Trần,172444723229,14/09/1980,0425856261,john53@yahoo.com,"354 Quý ông Khoa Vũ JohnQuận, 377312",Tiểu đường,9.18,Bác Hoàng Vũ,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Vũ Văn Dương,031028795083,09/01/1971,0499153703,john81@yahoo.com,"427 Quý cô Hương Vũ phố JohnXã, 137778",Tim mạch,8.93,Hạnh Trần,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Bà Hạnh Hoàng,044058093511,11/09/1950,0824073333,john83@gmail.com,"2 Khoa Dương
JohnQuận, 872343",Khỏe mạnh,6.78,Phương Hữu Nguyễn,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Cô Thành Hoàng,871813359561,06/08/1951,0732043097,john96@hotmail.com,"54 Mai Mai
JaneThành phố, 220944",Tiểu đường,5.38,Lâm Vũ,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Phúc Trần,642059556574,12/08/1979,0768893628,udang@gmail.com,"883 Bác Hưng Trần
JanePhường, 989208",Tiểu đường,8.43,Quý ông Tùng Hoàng,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Bà An Trần,902504290193,13/05/1949,0969645465,johnduong@yahoo.com,"43 Huy Hoàng
JaneThị xã, 808446",Huyết áp cao,3.8,Minh Hoàng,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Minh Vũ,588953690261,04/10/1951,0535851253,vujane@gmail.com,"1 An Tấn Đặng
JaneThị xã, 355836",Huyết áp cao,9.9,Lâm Đức Nguyễn,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Quý ông Trung Mai,139898681809,03/05/2002,0892187851,duongjohn@hotmail.com,"98 Ông Hoàng Dương xã JaneHuyện, 888295",Tiểu đường,4.89,Hải Mai Bảo Hoàng,05/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quý ông Quang Lê,788754394353,17/11/1959,0935837490,jane39@gmail.com,"3 Quý cô Bảo Hoàng
JaneThị xã, 165290",Tim mạch,3.77,Nhật Bùi,04/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Quý ông Anh Phạm,537513765158,27/02/1957,0797796120,john90@yahoo.com,"34 Anh Trung Đặng
JanePhường, 812131",Huyết áp cao,11.13,Thành Đức Lê,01/05/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Mai Bùi,815793763928,13/04/1982,0878057215,john60@hotmail.com,"755 Duyên Vũ
JohnThị xã, 120324",Huyết áp cao,9.36,Cô Thành Nguyễn,27/03/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Quý cô Bảo Hoàng,369294455116,16/08/1996,0149409762,dangjohn@gmail.com,"45 Hoàng Vũ
JohnXã, 126925",Tiểu đường,4.56,Ánh Trần,21/02/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Cô Yến Vũ,682973270216,07/06/1997,0637484539,ztran@yahoo.com,"850 Dũng Phạm
JanePhường, 968962",Khỏe mạnh,8.64,Tú Mai,07/04/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Quý ông Quang Quang Nguyễn,487120602128,14/12/1954,0862895090,jane55@yahoo.com,"9 Thành Dương
JaneQuận, 611233",Huyết áp cao,3.55,Hoàng Trần,14/02/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Kim Hoàng Trần,866526834155,27/01/1973,0591191862,maijane@yahoo.com,"7 Quý ông Vũ Đặng JohnThị xã, 825391",Tim mạch,7.68,Lâm Thị Hoàng,18/02/2026
6cedd15d-5800-4c02-87ea-7ff58db06746,Trọng Mai,999101576764,28/09/1957,0339220715,buijane@hotmail.com,"374 Thành Mai Bảo Nguyễn
JohnHuyện, 288158",Tim mạch,3.93,Ngọc Trần,17/01/2026
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Anh Đức Mai,722981209957,06/11/1942,0116966672,pduong@gmail.com,"047 Bảo Thế Nguyễn
JohnXã, 760021",Tiểu đường,8.2,Trọng Đức Vũ,17/04/2026
fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,Nhật Tấn Đặng,657289413475,15/08/1979,0521452647,john03@gmail.com,"99 Bảo Thế Lê JohnQuận, 351516",Huyết áp cao,8.89,Lâm Hải Phạm,23/02/2026
4a8ff810-784c-4f29-9804-02a2b07aa066,Nam Mai,098898645652,20/12/1986,0124633515,lejohn@yahoo.com,"18 Quý cô Khoa Nguyễn phố JohnQuận, 931131",Huyết áp cao,10.02,Tùng Đặng,01/05/2026
b04d3376-77fc-4703-9fd5-a423706c5c56,Lan Lê,203684995154,23/11/1971,0718409080,kpham@gmail.com,"5 Lâm Dương phố JaneXã, 142185",Huyết áp cao,8.67,Chị Ngọc Mai,01/05/2026
6f962882-95d8-4980-bf37-d19c2e76128b,Bảo Phạm,214477324491,03/03/1965,0512080056,janemai@gmail.com,"6 Anh Nhiên Nguyễn
JaneHuyện, 221552",Huyết áp cao,5.73,Quang Xuân Bùi,02/03/2026
5c9d927d-84b8-41bb-b005-68d20de051a6,Quý ông Cô An Lê,342138820908,08/11/1954,0409951239,vujohn@gmail.com,"9 Anh Minh Nguyễn xã JohnQuận, 982277",Khỏe mạnh,4.37,Cô Lan Trần,26/03/2026
b77350ca-eec2-49dc-bf95-897c276aa6ce,Vi Lê,830705349678,09/09/1965,0728351295,vujohn@yahoo.com,"982 Hải Hữu Dương
JaneThành phố, 396578",Khỏe mạnh,8.8,Châu Trần,11/05/2026
7250ee18-260a-4962-9d81-b7f57d5911c6,Thành Vũ,274117674124,19/01/1991,0927282709,jane42@gmail.com,"Thị xã JohnThị xã
76 Bà Dương Lê, 138817",Tim mạch,6.79,Lâm Bùi,14/01/2026
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,Quý cô Chị Thảo Mai,151315285478,27/10/1940,0081441529,itran@yahoo.com,"8 Quý cô Hải Hoàng phố JohnPhường, 817644",Huyết áp cao,8.44,Chị Chi Hoàng,26/02/2026
b4323070-a23d-4c2f-82a7-96891933918c,Hạnh Bùi,150618538003,08/01/1986,0821739295,janeduong@hotmail.com,"23 Anh Trọng Bùi JohnXã, 501126",Huyết áp cao,9.22,Chị Lâm Vũ,19/01/2026
75a66981-4104-48b5-a34d-b7c5760debbb,Linh Dương,296334727274,23/02/2001,0786718153,maijohn@hotmail.com,"JanePhường
43 Bà Kim Hoàng, 348728",Khỏe mạnh,11.84,An Phạm,08/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Hải Quang Đặng,231830617893,06/07/1998,0523736050,rduong@yahoo.com,"5 Bác Trung Lê phố JohnHuyện, 926918",Khỏe mạnh,10.03,Huy Hoàng,06/04/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Huy Trí Phạm,206496935782,10/10/1992,0791815899,fpham@yahoo.com,"JaneThành phố
236 Ngọc Đặng, 114594",Tim mạch,7.36,Nhật Hoàng Phạm,01/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Bác Nhiên Vũ,434776958741,15/08/1984,0886834527,john58@gmail.com,"1 Tú Dương JohnThành phố, 419149",Tiểu đường,8.9,Hà Bùi,27/04/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Quang Hoàng Hoàng,314675361275,03/03/1983,0346666170,johntran@yahoo.com,"773 Hạnh Lê
JohnThị xã, 389282",Tiểu đường,8.48,Quý ông Hoàng Bùi,13/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Tú Mai Trần,156277963044,20/02/1953,0715879647,phamjohn@hotmail.com,"529 Anh Trung Lê JohnThành phố, 793169",Khỏe mạnh,6.41,An Đức Phạm,16/02/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Cô Dương Dương,836085456676,09/03/1939,0408031499,janebui@gmail.com,"89 Quý cô Vi Phạm JanePhường, 132663",Tim mạch,6.18,Quý ông Minh Đặng,25/02/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Yến Đặng,640473504763,07/10/1979,0825080046,vtran@gmail.com,"98 Ông Vũ Phạm phố JohnThị xã, 573489",Tim mạch,5.38,Nam Mai Bảo Mai,22/02/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Phương Phạm,928319952980,01/07/1985,0358068828,jane72@hotmail.com,"5 Anh Thành Đặng xã JanePhường, 886730",Huyết áp cao,7.07,Nhật Hoàng Đặng,20/03/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Phương Đức Trần,061558108358,24/09/1951,0503172351,lejohn@yahoo.com,"89 Chị Hà Bùi JaneHuyện, 468074",Tiểu đường,5.1,Cô Khoa Bùi,16/03/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Trọng Trí Trần,328634255638,24/01/1951,0373990063,nduong@hotmail.com,"9 Nhật Đức Dương phố JohnHuyện, 564637",Tiểu đường,4.58,Quý cô Lâm Phạm,05/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Hà Thế Hoàng,300081867024,19/11/1970,0140352635,janepham@gmail.com,"32 Bảo Văn Trần phố JanePhường, 551574",Huyết áp cao,5.08,Quang Hữu Vũ,03/04/2026
ab05347f-d556-437d-8f08-81ee8011316b,Kim Đức Đặng,403304166241,16/03/1967,0602293946,jane24@hotmail.com,"6 Phúc Quang Mai JohnXã, 582446",Tim mạch,8.33,Bà Xuân Phạm,01/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Thảo Hoàng,118600892196,03/09/1959,0943460666,lejane@gmail.com,"52 Bác Bảo Hoàng
JohnQuận, 731661",Khỏe mạnh,7.03,Khoa Mai Bảo Nguyễn,02/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Bà Nhật Vũ,394568044731,05/05/1940,0437490607,phamjohn@yahoo.com,"1 Nhật Văn Vũ phố JaneHuyện, 180458",Tim mạch,5.71,Cô Chi Nguyễn,08/03/2026
f4488385-8de7-4d6c-9490-77c27674456f,Cô Hải Trần,497646136847,11/12/1982,0231112712,janenguyen@yahoo.com,"1 Hưng Lê
JaneXã, 648141",Tim mạch,4.73,Khoa Phú Đặng,20/02/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Trung Lê,488360765817,03/03/1940,0852464844,qdang@gmail.com,"19 Hoàng Phú Dương
JohnXã, 843266",Khỏe mạnh,6.05,An Mai Bảo Bùi,19/02/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Nhật Bảo Vũ,390637579145,24/06/1972,0941163187,dangjane@gmail.com,"33 Cô Hạnh Nguyễn
JohnXã, 908320",Huyết áp cao,10.18,Quý ông Vũ Bùi,25/04/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Phương Mai,211823793126,03/06/1994,0328077113,janemai@yahoo.com,"94 Xuân Đặng
JaneQuận, 485709",Tiểu đường,9.79,Quang Phạm,07/03/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Ông Châu Dương,978930746452,03/03/1939,0062113695,john74@yahoo.com,"12 Bảo Phạm
JohnQuận, 956375",Khỏe mạnh,6.07,Quang Vũ,07/01/2026
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Bà Duyên Dương,059960438787,01/06/1937,0727908335,nguyenjane@hotmail.com,"2 Châu Mai phố JaneQuận, 975522",Huyết áp cao,11.89,Anh Phúc Phạm,01/02/2026
6b79afcc-3d0a-4f0c-8c39-4ec71f317405,Thành Trần,535778811616,03/12/1978,0090254257,spham@gmail.com,"953 Châu Trần
JohnXã, 670511",Khỏe mạnh,8.43,Cô Hồng Đặng,06/01/2026
